,log
0,data added to csv with 38 rows on 2020-06-02 at 14:17:25.177548
0,data added to csv with 38 rows on 2020-06-02 at 14:41:51.982603
0,data added to csv with 38 rows on 2020-06-02 at 14:42:16.443582
0,data added to csv with 38 rows on 2020-06-02 at 14:42:40.931848
0,data added to csv with 38 rows on 2020-06-02 at 14:43:21.801007
0,data added to csv with 38 rows on 2020-06-02 at 14:43:58.314016
0,data added to csv with 38 rows on 2020-06-02 at 14:44:46.575257
0,data added to csv with 38 rows on 2020-06-02 at 14:45:33.749198
0,data added to csv with 38 rows on 2020-06-02 at 20:48:49.860444
0,data added to csv with 38 rows on 2020-06-02 at 20:49:01.266728
0,data added to csv with 38 rows on 2020-06-02 at 20:50:24.482236
0,data added to csv with 38 rows on 2020-06-02 at 20:50:36.494298
0,data added to csv with 38 rows on 2020-06-02 at 20:51:24.629496
0,data added to csv with 38 rows on 2020-06-02 at 20:51:48.433719
0,data added to csv with 38 rows on 2020-06-02 at 20:52:36.009363
0,data added to csv with 38 rows on 2020-06-02 at 20:53:12.615960
0,data added to csv with 38 rows on 2020-06-02 at 20:53:47.828074
0,data added to csv with 38 rows on 2020-06-02 at 20:54:24.516201
0,data added to csv with 38 rows on 2020-06-02 at 20:55:00.550192
0,data added to csv with 38 rows on 2020-06-02 at 20:55:35.544424
0,data added to csv with 38 rows on 2020-06-02 at 20:56:12.203021
0,data added to csv with 38 rows on 2020-06-02 at 20:56:47.279815
0,data added to csv with 38 rows on 2020-06-02 at 20:57:23.429461
0,data added to csv with 38 rows on 2020-06-02 at 20:58:00.094189
0,data added to csv with 38 rows on 2020-06-02 at 20:58:35.103945
0,data added to csv with 38 rows on 2020-06-02 at 21:06:05.509399
0,data added to csv with 38 rows on 2020-06-02 at 21:06:13.212145
0,data added to csv with 38 rows on 2020-06-02 at 21:07:25.891451
0,data added to csv with 38 rows on 2020-06-02 at 21:07:37.389135
0,data added to csv with 38 rows on 2020-06-02 at 21:13:44.938469
0,data added to csv with 38 rows on 2020-06-02 at 21:13:53.032377
0,data added to csv with 38 rows on 2020-06-02 at 21:15:06.084233
0,data added to csv with 38 rows on 2020-06-02 at 21:15:54.409296
0,data added to csv with 38 rows on 2020-06-02 at 21:16:05.963842
0,data added to csv with 38 rows on 2020-06-02 at 21:16:17.437436
0,data added to csv with 38 rows on 2020-06-02 at 21:17:29.798427
0,data added to csv with 38 rows on 2020-06-02 at 21:19:33.701044
0,data added to csv with 38 rows on 2020-06-02 at 21:19:50.580014
0,data added to csv with 38 rows on 2020-06-02 at 21:19:56.765867
0,data added to csv with 38 rows on 2020-06-02 at 21:21:20.626141
0,data added to csv with 38 rows on 2020-06-02 at 21:21:32.282559
0,data added to csv with 38 rows on 2020-06-02 at 21:22:31.262905
0,data added to csv with 38 rows on 2020-06-02 at 21:24:02.958084
0,data added to csv with 38 rows on 2020-06-02 at 21:24:15.339112
0,data added to csv with 38 rows on 2020-06-02 at 21:24:26.263962
0,data added to csv with 38 rows on 2020-06-02 at 21:25:43.838827
0,data added to csv with 38 rows on 2020-06-02 at 21:25:55.253574
0,data added to csv with 38 rows on 2020-06-02 at 21:27:39.774562
0,data added to csv with 38 rows on 2020-06-02 at 21:28:05.676331
0,data added to csv with 38 rows on 2020-06-02 at 22:12:18.653791
0,data added to csv with 38 rows on 2020-06-02 at 22:12:55.872214
0,data added to csv with 38 rows on 2020-06-02 at 22:13:07.479184
0,data added to csv with 38 rows on 2020-06-02 at 22:13:49.176340
0,data added to csv with 38 rows on 2020-06-02 at 22:14:13.214718
0,data added to csv with 38 rows on 2020-06-03 at 16:01:52.875556
0,data added to csv with 38 rows on 2020-06-03 at 16:01:59.545166
0,data added to csv with 38 rows on 2020-06-03 at 16:03:33.795285
0,data added to csv with 38 rows on 2020-06-03 at 16:03:45.604495
0,data added to csv with 38 rows on 2020-06-03 at 16:05:06.765989
0,data added to csv with 38 rows on 2020-06-03 at 16:05:31.101806
0,data added to csv with 38 rows on 2020-06-03 at 16:06:51.940733
0,data added to csv with 38 rows on 2020-06-03 at 16:07:33.533053
0,data added to csv with 38 rows on 2020-06-09 at 14:39:46.506703
0,data added to csv with 38 rows on 2020-06-09 at 14:42:28.003176
0,data added to csv with 38 rows on 2020-06-09 at 14:42:40.031263
0,data added to csv with 38 rows on 2020-06-09 at 14:42:51.423864
0,data added to csv with 38 rows on 2020-06-09 at 14:43:02.893558
0,data added to csv with 38 rows on 2020-06-09 at 14:44:00.082026
0,data added to csv with 38 rows on 2020-06-09 at 14:44:09.008570
0,data added to csv with 38 rows on 2020-06-09 at 14:45:47.297735
0,data added to csv with 38 rows on 2020-06-09 at 15:45:19.861001
0,data added to csv with 38 rows on 2020-06-09 at 15:45:31.332269
0,data added to csv with 38 rows on 2020-06-09 at 15:47:40.975536
0,data added to csv with 38 rows on 2020-06-09 at 15:47:52.600026
0,data added to csv with 38 rows on 2020-06-09 at 15:49:28.655592
0,data added to csv with 38 rows on 2020-06-09 at 15:49:54.536172
0,data added to csv with 38 rows on 2020-06-09 at 15:51:11.314550
0,data added to csv with 38 rows on 2020-06-09 at 15:51:47.507209
0,data added to csv with 38 rows on 2020-06-09 at 15:52:51.899630
0,data added to csv with 38 rows on 2020-06-09 at 15:53:52.130261
0,data added to csv with 38 rows on 2020-06-09 at 15:54:34.927038
0,data added to csv with 38 rows on 2020-06-09 at 16:06:49.686578
0,data added to csv with 38 rows on 2020-06-09 at 16:07:00.966322
0,data added to csv with 38 rows on 2020-06-09 at 16:11:42.952663
0,data added to csv with 38 rows on 2020-06-09 at 16:11:55.983924
0,data added to csv with 38 rows on 2020-06-09 at 16:13:13.360766
0,data added to csv with 38 rows on 2020-06-09 at 16:13:25.006743
0,data added to csv with 38 rows on 2020-06-09 at 16:14:19.297942
0,data added to csv with 38 rows on 2020-06-09 at 16:14:45.802817
0,data added to csv with 38 rows on 2020-06-09 at 16:16:04.923281
0,data added to csv with 38 rows on 2020-06-09 at 16:16:41.491694
0,data added to csv with 38 rows on 2020-06-09 at 16:17:59.293765
0,data added to csv with 38 rows on 2020-06-09 at 16:18:11.467366
0,data added to csv with 38 rows on 2020-06-09 at 16:21:16.443289
0,data added to csv with 38 rows on 2020-06-09 at 16:21:28.072077
0,data added to csv with 38 rows on 2020-06-09 at 16:21:40.072819
0,data added to csv with 38 rows on 2020-06-09 at 16:23:10.640994
0,data added to csv with 38 rows on 2020-06-09 at 16:23:25.690852
0,data added to csv with 38 rows on 2020-06-10 at 10:24:27.604013
0,data added to csv with 38 rows on 2020-06-10 at 10:24:42.692786
0,data added to csv with 38 rows on 2020-06-10 at 10:26:47.000563
0,data added to csv with 38 rows on 2020-06-10 at 10:27:02.585665
0,data added to csv with 38 rows on 2020-06-10 at 10:29:32.165514
0,data added to csv with 38 rows on 2020-06-10 at 10:29:51.147114
0,data added to csv with 38 rows on 2020-06-10 at 10:31:18.406556
0,data added to csv with 38 rows on 2020-06-10 at 10:31:45.163889
0,data added to csv with 38 rows on 2020-06-10 at 10:33:11.877674
0,data added to csv with 38 rows on 2020-06-10 at 10:33:51.877710
0,data added to csv with 38 rows on 2020-06-10 at 10:35:17.436283
0,data added to csv with 38 rows on 2020-06-10 at 10:36:10.184445
0,data added to csv with 38 rows on 2020-06-10 at 10:37:03.335172
0,data added to csv with 38 rows on 2020-06-10 at 10:37:57.507775
0,data added to csv with 38 rows on 2020-06-10 at 10:38:56.587646
0,data added to csv with 38 rows on 2020-06-10 at 10:39:54.892542
0,data added to csv with 38 rows on 2020-06-10 at 10:41:03.264045
0,data added to csv with 38 rows on 2020-06-10 at 10:41:55.431652
0,data added to csv with 38 rows on 2020-06-10 at 10:42:51.786139
0,data added to csv with 38 rows on 2020-06-10 at 10:43:45.830157
0,data added to csv with 38 rows on 2020-06-10 at 10:44:39.936617
0,data added to csv with 38 rows on 2020-06-10 at 10:45:29.718518
0,data added to csv with 38 rows on 2020-06-10 at 10:46:25.648654
0,data added to csv with 38 rows on 2020-06-10 at 10:47:21.672714
0,data added to csv with 38 rows on 2020-06-10 at 10:48:45.635530
0,data added to csv with 38 rows on 2020-06-10 at 10:49:43.588882
0,data added to csv with 38 rows on 2020-06-10 at 10:51:05.740584
0,data added to csv with 38 rows on 2020-06-10 at 10:52:58.947259
0,data added to csv with 38 rows on 2020-06-10 at 10:53:10.576052
0,data added to csv with 38 rows on 2020-06-10 at 10:54:31.299802
0,data added to csv with 38 rows on 2020-06-10 at 10:54:42.322296
0,data added to csv with 38 rows on 2020-06-10 at 10:55:49.851054
0,data added to csv with 38 rows on 2020-06-10 at 10:56:16.220083
0,data added to csv with 38 rows on 2020-06-10 at 10:57:39.500636
0,data added to csv with 38 rows on 2020-06-10 at 10:58:19.532586
0,data added to csv with 38 rows on 2020-06-10 at 10:59:27.952455
0,data added to csv with 38 rows on 2020-06-10 at 11:00:28.567439
0,data added to csv with 38 rows on 2020-06-10 at 11:01:21.668849
0,data added to csv with 38 rows on 2020-06-10 at 11:02:14.496361
0,data added to csv with 38 rows on 2020-06-10 at 11:03:08.298024
0,data added to csv with 38 rows on 2020-06-10 at 11:04:11.297016
0,data added to csv with 38 rows on 2020-06-10 at 11:05:00.966360
0,data added to csv with 38 rows on 2020-06-10 at 11:05:56.095194
0,data added to csv with 38 rows on 2020-06-10 at 11:06:51.654480
0,data added to csv with 38 rows on 2020-06-10 at 11:07:53.283489
0,data added to csv with 38 rows on 2020-06-10 at 11:08:42.793160
0,data added to csv with 38 rows on 2020-06-10 at 11:09:40.485951
0,data added to csv with 38 rows on 2020-06-10 at 11:10:38.317482
0,data added to csv with 38 rows on 2020-06-10 at 11:11:31.742821
0,data added to csv with 38 rows on 2020-06-10 at 11:12:26.953943
0,data added to csv with 38 rows on 2020-06-10 at 11:13:21.023430
0,data added to csv with 38 rows on 2020-06-10 at 11:14:17.634130
0,data added to csv with 38 rows on 2020-06-10 at 11:15:09.323434
0,data added to csv with 38 rows on 2020-06-10 at 11:16:14.822437
0,data added to csv with 38 rows on 2020-06-10 at 11:17:03.799094
0,data added to csv with 38 rows on 2020-06-10 at 11:17:56.002178
0,data added to csv with 38 rows on 2020-06-10 at 11:18:45.310060
0,data added to csv with 38 rows on 2020-06-10 at 11:19:40.165811
0,data added to csv with 38 rows on 2020-06-10 at 11:20:28.871683
0,data added to csv with 38 rows on 2020-06-10 at 11:21:23.211393
0,data added to csv with 38 rows on 2020-06-10 at 11:22:13.809727
